[0215] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=9ed4b92a77345286
[0216] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e19e666769c4d3bc
[0217] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fba3f3a3db3dac16
[0218] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f393d7b6718e71c5
[0219] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=893 | hex=eefadece7bb2d672
[0220] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2828282828282828
[0221] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2cd155bedb0ffb5f
[0222] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=00faf793ff004135
[0223] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=1747fc338cff00f4
[0224] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fce8fb51fee8fce8
[0225] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=bfeff1a00e6bfb23
[0226] [TS: 1773208135779843500] Client(57919) -> Proj(3621) | VIDEO DATA | len=425 | hex=5d048d2cd36a370d
[0227] [TS: 1773208135799052700] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9560a0000
[0228] [TS: 1773208135799160300] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=0000000000000000
[0229] [TS: 1773208135799160300] Client(54294) -> Proj(3621) | AUX DATA | len=1186 | hex=0000000000000000
[0230] [TS: 1773208135850034300] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9e4060000
[0231] [TS: 1773208135850130600] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=0000000000000000
[0232] [TS: 1773208135850130600] Client(54294) -> Proj(3621) | AUX DATA | len=304 | hex=0000000000000000
[0233] [TS: 1773208135900225500] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9560a0000
[0234] [TS: 1773208135900297400] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=0000000000000000
[0235] [TS: 1773208135900297400] Client(54294) -> Proj(3621) | AUX DATA | len=1186 | hex=0000000000000000
[0236] [TS: 1773208135950650500] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9e4060000
[0237] [TS: 1773208135950705800] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=0000000000000000
