[*] Detected Video Port: 57919
[*] Detected Aux Port: 54294
[0107] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b5adb1670c5c6c54531f4da7e63f3018
[0108] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=82ac3207ae7b8a48661c3a96b09ac4ca
[0109] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=823ae307ad6af87ec350d3ed48961b08
[0110] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=38af2dee239236b889408d9ae99c9037
[0111] [TS: 1773208135741190000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2c8d79aefeef0c57cd8b3e595dc24fbb
[0112] [TS: 1773208135741190000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=329915ba316006d3d7231d41ae77c5d6
[0113] [TS: 1773208135741190000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5ffeff00c7ff00c451fd9d5bc83fb7f0
[0114] [TS: 1773208135741190000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=3232093c9c1e4f5ac4d5341bababed42
[0115] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=6ba70ad21c97c92aff0079390703b0c6
[0116] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c5bf88b5291198ab9920d8c581e4306c
[0117] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=6178386da4f070783b7383d6ab1f851e
[0118] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=dbf95f7ffc95ff0091da58fc47f08db5
[0119] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=3f85b2a78cf38ef8f4e2be74d762d235
[0120] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e34f025b5c5b35bebb6514106f7112a3
[0121] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=40cf391ff0135bd6dff08e42d671db45
[0122] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b405e49f9b207231ef5dd58cba6fdbee
[0123] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f0ff00b22ad7932ffcf37ffbe4d3f46b
[0124] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c018ee4d6af87f417d274f96d89791a5
[0125] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=40167fb2344ffa020ffc06a3fb2344ff
[0126] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a020ff00c06a3fb2344ffa020ffc06a8
[0127] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=8966976e7e799f731c9cf26b9dd4bc09
[0128] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=bdcc504f293752e5de57e60432191847
[0129] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=04d8754655550c011c3614723be4f7ad
[0130] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=69ddd31ef57bc27a83ea3a5c924b731d
[0131] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fa64fd4d486ced8ac80dbc2448417050
[0132] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fe11bd3544c91c0b1c325bfd98c6a000
[0133] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=78a5f643ed1c7e97e3fd4eeb54d3ed25
[0134] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1273 | hex=154058804e4963f3633c0c00001df2b5
[0135] [TS: 1773208135742293500] Client(57919) -> Proj(3621) | VIDEO DATA | len=187 | hex=02700050019001a0000000079089b801
[0136] [TS: 1773208135748460600] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9e4060000
[0137] [TS: 1773208135748500800] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=00000000000000000000000000000000
[0138] [TS: 1773208135748500800] Client(54294) -> Proj(3621) | AUX DATA | len=304 | hex=00000000000000000000000000000000
[0139] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=021101031101ffc4001f000001050101
[0140] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=6bdbfaff003ff0a00d1a2b3bfb5edfd7
[0141] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=514572ff00f09ce8ff00deb8ff00bf74
[0142] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e10db2ff009f8b8fcd7fc2ba7a28f671
[0143] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ff006ce9bff3fb07fdf628fed9d37fe7
